,g.id,g.gender,g.age,g.nas,g.province,g.city,g.education,g.occupation,o.indoor,o.outdoor,o.media,o.sports,o.free.offer,o.difficult.quit,o.harm.general,o.harm.water,o.har.fruit.taste,o.work.restriction,o.now.use,n.previous.use,n.why.combined,n.why.choices,n.friend.use,n.meet.friend,n.reaction.family,n.reaction.friend,n.public.indoor.use,n.public.indoor.use.days,n.public.outdoor.use,n.public.outdoor.use.days,n.offer.accept,c.age,c.reason.use.combined,c.reason.use.choices,c.use.quantity,c.morning.affinity,c.light.time,c.hours.affinity,c.which.difficult,c.affinity.sickness,c.where.first,c.how.first,c.enjoy.cigarette,c.restriction.bother,c.effect.increase.friends,c.increases.respect,c.suggest.family.friends,cq.willing.quit,cq.quit.commit,cq.reason.quit.combined,cq.reason.quit.choices,cq.quit.times,cq.quit.interval,cq.last.quit,cq.reason.unsuccessful.quit,cq.quit.methods,cq.quit.negative.combined,cq.quit.negative.choices,cq.ca.quit.again,cq.quit.supporter,h.age,h.main.reason.combined,h.main.reason.choices,h.use.quantity,h.morning.affinity,h.light.time,h.hours.affinity,h.spend.time,h.tobaco.class,h.which.difficult,h.affinity.sickness,h.where.first,h.how.first,h.enjoy.hooka,h.restriction.bother,h.effect.increase.friends,h.increases.respect,h.suggest.family.friends,hq.willing.quit,hq.quit.commit,hq.reason.quit.combined,hq.reason.quit.choices,hq.quit.times,hq.quit.interval,hq.last.quit,hq.reason.unsuccessful.quit,hq.quit.methods,hq.quit.negative.combined,hq.quit.negative.choices,hq.ca.quit.again,hq.quit.supporter,r.shortness,r.productive.cough,r.reduced.capacity,r.respiratory.doctor,r.respiratory.diagnosis,p.p,p.p.code,p.spam,p.date.start,p.date.finish,test.s,test.f,test.len,start.date,start.time,finish.date,finish.time
269,kf3T,F,27,143,فارس,شيراز,Bachelors,Employee,Yes sir,Yes sir,Yes sir,Yes sir,No,No,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Recommended to leave,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,NA,1400/01/16-08:56:46,1400/01/16-09:02:07,1400-01-16 08:56:46,1400-01-16 09:02:07,321,1400/01/16,8:56:46,1400/01/16,9:02:07
270,Q2Mv,F,69,127,فارس,شيراز,movement,housewife,Yes sir,Yes sir,Yes sir,Yes sir,No,Yes sir,No idea,Yes sir,It is no different from traditional,Yes,Professional hookah,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,18,-Refreshment-----As entertainment and fun-Feeling great and personal----,3,three times,7,Half-hour,the night,15 to 20 minutes,Traditional,Around noon,No,With friends,At the suggestion of friends,I agree,Yes,They have fewer friends,It does not matter,No,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,sometimes,Yes - a few days a month,I disagree,No,NA,Yes,1403,Spam,1400/01/14-15:37:10,1400/01/14-15:43:01,1400-01-14 15:37:10,1400-01-14 15:43:01,351,1400/01/14,15:37:10,1400/01/14,15:43:01
271,i4IN,M,50,127,فارس,شيراز,elementary,manual worker,No,No,Yes sir,No,Yes sir,No,No idea,No,It is no different from traditional,No,Professional hookah,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,15,--Gain pleasure---Imitate others-As entertainment and fun-----,3,Twice,4,After breakfast,the night,15 to 20 minutes,Traditional,Evening,Yes,When having fun,At the suggestion of friends,I agree,No,There is no difference or effect,Yes sir,Yes sir,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,sometimes,Yes - a few days a month,I completely disagree,No,NA,Yes,1403,Spam,1400/01/14-15:32:35,1400/01/14-15:36:56,1400-01-14 15:32:35,1400-01-14 15:36:56,261,1400/01/14,15:32:35,1400/01/14,15:36:56
272,NFjW,F,29,139,فارس,شيراز,Bachelors,Employee,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,"It hurts, but very little",Yes,I do not consume at all,No,NA,0,Yes sir,More than three days a week,I can not point out,I do not care,Yes sir,3 to 4 days ago,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I disagree,No,NA,Yes,1403,Spam,1400/01/14-15:20:28,1400/01/14-15:24:14,1400-01-14 15:20:28,1400-01-14 15:24:14,226,1400/01/14,15:20:28,1400/01/14,15:24:14
273,qxh9,M,30,138,فارس,شيراز,diplomas,Free,No,No,Yes sir,No,No,No idea,Yes sir,No,It is no different from traditional,No,Hookah fan,No,NA,0,Yes sir,Less than three days a week,I can not point out,I can not point out,Yes sir,1 to 2 days ago,Yes sir,1 to 2 days ago,Maybe I will accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,No,NA,Yes,1403,Spam,1400/01/14-15:16:09,1400/01/14-15:19:00,1400-01-14 15:16:09,1400-01-14 15:19:00,171,1400/01/14,15:16:09,1400/01/14,15:19:00
274,BLL3,F,35,140,فارس,شيراز,Bachelors,Employee,Yes sir,Yes sir,No,No,No,No,Yes sir,No,"Yes, it is completely harmless",Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Recommended to leave,Advise not to be in my presence,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I do not know,No,NA,Yes,1403,Spam,1400/01/12-17:35:40,1400/01/12-17:37:46,1400-01-12 17:35:40,1400-01-12 17:37:46,126,1400/01/12,17:35:40,1400/01/12,17:37:46
275,T1MP,M,40,141,فارس,شيراز,diplomas,Free,Yes sir,Yes sir,No,No,Yes sir,No idea,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Advise not to be in my presence,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I disagree,No,NA,Yes,1403,Spam,1400/01/12-17:29:52,1400/01/12-17:32:47,1400-01-12 17:29:52,1400-01-12 17:32:47,175,1400/01/12,17:29:52,1400/01/12,17:32:47
276,VTgS,F,45,140,فارس,شيراز,PhDs and above,Employee,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Advice not to smoke in my presence,Advise not to be in my presence,Yes sir,1 to 2 days ago,Yes sir,A week ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,sometimes,Yes - most days of the week,I completely disagree,Yes sir,Bronchitis (chronic),I'm not a questioner,NA,NA,1400/01/12-10:09:09,1400/01/12-10:13:10,1400-01-12 10:09:09,1400-01-12 10:13:10,241,1400/01/12,10:09:09,1400/01/12,10:13:10
277,cApF,F,58,127,فارس,شيراز,middle,housewife,No,No,Yes sir,No,Yes sir,No idea,Yes sir,No,It is no different from traditional,No,Professional hookah,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,23,-----Imitate others-As entertainment and fun-----,2,three times,6,After breakfast,Early morning,10 to 15 minutes,Traditional,Early morning,No,When having fun,At the suggestion of friends,I disagree,No,There is no difference or effect,It does not matter,No,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,For a short time,Only when you have a cold or infection,I disagree,Yes sir,Asthma,Yes,1402,Spam,1400/01/07-12:19:34,1400/01/07-12:23:27,1400-01-07 12:19:34,1400-01-07 12:23:27,233,1400/01/07,12:19:34,1400/01/07,12:23:27
278,v4pe,M,57,129,فارس,شيراز,elementary,manual worker,No,No,Yes sir,No,Yes sir,No idea,Yes sir,No,It is no different from traditional,No,Professional cigarettes,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,-Refreshment-----As entertainment and fun-----,2,11 to 20 yarns (about one envelope),6,Half an hour to an hour,Early morning,Early morning,No,When having fun,At the suggestion of friends,I disagree,No,has no effect,It does not matter,No,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,sometimes,Only when you have a cold or infection,I disagree,Yes sir,seasonal allergy,Yes,1402,Spam,1400/01/07-11:41:00,1400/01/07-11:45:39,1400-01-07 11:41:00,1400-01-07 11:45:39,279,1400/01/07,11:41:00,1400/01/07,11:45:39
279,UU19,M,36,138,فارس,شيراز,middle,manual worker,Yes sir,Yes sir,Yes sir,No,No,No idea,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Recommended to leave,Control and reduce traffic,Yes sir,3 to 4 days ago,Yes sir,5 to 6 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1402,Spam,1400/01/06-18:36:42,1400/01/06-18:40:30,1400-01-06 18:36:42,1400-01-06 18:40:30,228,1400/01/06,18:36:42,1400/01/06,18:40:30
280,bY63,F,25,139,فارس,شيراز,diplomas,housewife,Yes sir,Yes sir,Yes sir,No,No,No idea,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Control and reduce traffic,Yes sir,1 to 2 days ago,Yes sir,3 to 4 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1402,Spam,1400/01/06-18:04:51,1400/01/06-18:09:24,1400-01-06 18:04:51,1400-01-06 18:09:24,273,1400/01/06,18:04:51,1400/01/06,18:09:24
281,aFmY,F,27,139,فارس,شيراز,diplomas,housewife,Yes sir,Yes sir,Yes sir,No,No,No idea,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Recommended to leave,Control and reduce traffic,Yes sir,5 to 6 days ago,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1402,Spam,1400/01/06-17:53:17,1400/01/06-17:56:19,1400-01-06 17:53:17,1400-01-06 17:56:19,182,1400/01/06,17:53:17,1400/01/06,17:56:19
282,8DII,M,42,138,فارس,شيراز,middle,Employee,Yes sir,No idea,Yes sir,Yes sir,No,No idea,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Recommended to leave,Control and reduce traffic,Yes sir,1 to 2 days ago,Yes sir,3 to 4 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,Yes,1402,Spam,1400/01/06-15:13:02,1400/01/06-15:16:14,1400-01-06 15:13:02,1400-01-06 15:16:14,192,1400/01/06,15:13:02,1400/01/06,15:16:14
283,nCf7,M,36,140,فارس,شيراز,elementary,manual worker,Yes sir,Yes sir,Yes sir,Yes sir,No,No idea,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Recommended to leave,No,NA,Yes sir,3 to 4 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,No,NA,Yes,1402,Spam,1400/01/05-19:07:57,1400/01/05-19:12:28,1400-01-05 19:07:57,1400-01-05 19:12:28,271,1400/01/05,19:07:57,1400/01/05,19:12:28
284,CI30,F,45,136,فارس,شيراز,movement,housewife,No,No,Yes sir,No,Yes sir,No idea,Yes sir,No,It is no different from traditional,No,Cigarette butts,Yes,It is harmful to my health-Harmful to the health of others----,2,Yes sir,Less than three days a week,Advice not to smoke in my presence,Advise not to be in my presence,Yes sir,1 to 2 days ago,Yes sir,5 to 6 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,No,NA,Yes,1402,Spam,1400/01/05-18:01:24,1400/01/05-18:04:55,1400-01-05 18:01:24,1400-01-05 18:04:55,211,1400/01/05,18:01:24,1400/01/05,18:04:55
285,a2r4,M,38,136,فارس,شيراز,elementary,manual worker,No,No,Yes sir,No,Yes sir,No idea,Yes sir,No,"It hurts, but very little",No,Cigarette butts,Yes,It is harmful to my health-----High cost of consumption,2,Yes sir,Less than three days a week,Recommended to leave,Advise not to be in my presence,Yes sir,1 to 2 days ago,Yes sir,5 to 6 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,No,NA,Yes,1402,Spam,1400/01/05-17:32:18,1400/01/05-17:35:56,1400-01-05 17:32:18,1400-01-05 17:35:56,218,1400/01/05,17:32:18,1400/01/05,17:35:56
286,dwUy,M,24,142,فارس,شيراز,Bachelors,Student,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Recommended to leave,Advise not to be in my presence,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I do not know,No,NA,I'm not a questioner,NA,NA,1400/01/03-17:37:44,1400/01/03-17:41:24,1400-01-03 17:37:44,1400-01-03 17:41:24,220,1400/01/03,17:37:44,1400/01/03,17:41:24
287,4GYO,F,68,142,فارس,شيراز,Conservatory,Retired,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Recommended to leave,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,For a short time,Only when you have a cold or infection,I disagree,No,NA,I'm not a questioner,NA,Spam,1400/01/03-17:18:50,1400/01/03-17:23:34,1400-01-03 17:18:50,1400-01-03 17:23:34,284,1400/01/03,17:18:50,1400/01/03,17:23:34
288,Ym5g,M,63,140,فارس,شيراز,PhDs and above,Free,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,Yes,It is harmful to my health-----,1,Yes sir,Less than three days a week,I can not point out,I do not care,Yes sir,5 to 6 days ago,No,NA,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,For a short time,Yes - a few days a month,I do not know,No,NA,I'm not a questioner,NA,NA,1400/01/03-17:12:34,1400/01/03-17:18:44,1400-01-03 17:12:34,1400-01-03 17:18:44,370,1400/01/03,17:12:34,1400/01/03,17:18:44
289,Kp96,M,37,141,فارس,شيراز,Masters,Free,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,No,NA,I can not point out,Control and reduce traffic,Yes sir,A week ago,Yes sir,A week ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I disagree,No,NA,I'm not a questioner,NA,NA,1400/01/03-17:10:01,1400/01/03-17:18:28,1400-01-03 17:10:01,1400-01-03 17:18:28,507,1400/01/03,17:10:01,1400/01/03,17:18:28
290,88cb,M,39,130,فارس,شيراز,elementary,Free,No,No,Yes sir,No,Yes sir,No,Yes sir,No,It is no different from traditional,No,Professional cigarettes,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,-Refreshment-----As entertainment and fun-----,2,1 to 10 yarns (half an envelope),4,Half an hour to an hour,Early morning,Early morning,No,When having fun,At the suggestion of friends,I disagree,No,They have fewer friends,No,No,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I disagree,No,NA,Yes,1402,Spam,1400/01/03-16:11:23,1400/01/03-16:16:51,1400-01-03 16:11:23,1400-01-03 16:16:51,328,1400/01/03,16:11:23,1400/01/03,16:16:51
291,eQ4C,F,52,136,فارس,شيراز,middle,housewife,Yes sir,No,Yes sir,No,Yes sir,No idea,Yes sir,No,It is no different from traditional,No,Hookah fan,Yes,It is harmful to my health--Social ugliness (ugly)---,2,Yes sir,More than three days a week,Recommended to leave,I do not care,Yes sir,3 to 4 days ago,Yes sir,5 to 6 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,No,NA,Yes,1402,Spam,1400/01/02-10:24:58,1400/01/02-10:29:39,1400-01-02 10:24:58,1400-01-02 10:29:39,281,1400/01/02,10:24:58,1400/01/02,10:29:39
292,u5Up,M,35,140,فارس,شيراز,middle,manual worker,Yes sir,Yes sir,Yes sir,Yes sir,No,No idea,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Recommended to leave,Yes sir,1 to 2 days ago,Yes sir,A week ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I completely disagree,No,NA,Yes,1402,NA,1400/01/01-11:08:59,1400/01/01-11:12:29,1400-01-01 11:08:59,1400-01-01 11:12:29,210,1400/01/01,11:08:59,1400/01/01,11:12:29
293,1qN0,F,42,143,فارس,شيراز,Bachelors,Employee,No,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Advice not to smoke in my presence,Advise not to be in my presence,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,NA,1399/12/28-13:44:49,1399/12/28-13:49:20,1399-12-28 13:44:49,1399-12-28 13:49:20,271,1399/12/28,13:44:49,1399/12/28,13:49:20
294,xmay,F,35,141,فارس,شيراز,Masters,housewife,No,No,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,I can not point out,I can not point out,Yes sir,1 to 2 days ago,Yes sir,1 to 2 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,NA,1399/12/28-13:24:25,1399/12/28-13:27:12,1399-12-28 13:24:25,1399-12-28 13:27:12,167,1399/12/28,13:24:25,1399/12/28,13:27:12
295,r7xr,F,33,141,بوشهر,بوشهر,Masters,housewife,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Control and reduce traffic,Control and reduce traffic,No,NA,Yes sir,A week ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I disagree,No,NA,I'm not a questioner,NA,NA,1399/12/28-13:16:55,1399/12/28-13:20:50,1399-12-28 13:16:55,1399-12-28 13:20:50,235,1399/12/28,13:16:55,1399/12/28,13:20:50
296,iogK,F,27,139,البرز,كرج,Masters,Employee,Yes sir,No,Yes sir,No,No,No,Yes sir,No,It is no different from traditional,Yes,Hookah fan,Yes,It is harmful to my health-Harmful to the health of others----,2,Yes sir,More than three days a week,Recommended to leave,I do not care,Yes sir,3 to 4 days ago,No,NA,Maybe I will accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,Only when you have a cold or infection,I disagree,No,NA,I'm not a questioner,NA,NA,1399/12/28-08:28:12,1399/12/28-08:33:44,1399-12-28 08:28:12,1399-12-28 08:33:44,332,1399/12/28,8:28:12,1399/12/28,8:33:44
297,dU3Y,F,40,143,فارس,شيراز,Masters,Employee,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,I do not care,I do not care,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,NA,1399/12/28-00:34:58,1399/12/28-00:37:52,1399-12-28 00:34:58,1399-12-28 00:37:52,174,1399/12/28,0:34:58,1399/12/28,0:37:52
