"","farsi","some.V1","some.V2","some.V3"
"111","اطلاعات اختصاصی الگوی مصرف قلیان - فکر می کنید مصرف قلیان باعث می گردد سایر افراد شما را بیشتر دوست داشته باشند و به شما بیشتر احترام بگذارند؟","اطلاعات اختصاصی الگوی مصرف قلیان "," فکر می کنید مصرف قلیان باعث می گردد سایر افراد شما را بیشتر دوست داشته باشند و به شما بیشتر احترام بگذارند؟",""
"112","اطلاعات اختصاصی الگوی مصرف قلیان - آیا شما به بستگان درجه یک و دوستان صمیمی خود قلیان کشیدن را پیشنهاد می کنید؟","اطلاعات اختصاصی الگوی مصرف قلیان "," آیا شما به بستگان درجه یک و دوستان صمیمی خود قلیان کشیدن را پیشنهاد می کنید؟",""
"113","تمایل به ترک قلیانتمایل به ترک قلیان - آیا تمایل به ترک قلیان دارید؟","تمایل به ترک قلیانتمایل به ترک قلیان "," آیا تمایل به ترک قلیان دارید؟",""
"114","تمایل به ترک قلیان - آیا تا کنون اقدام به ترک قلیان داشته اید؟","تمایل به ترک قلیان "," آیا تا کنون اقدام به ترک قلیان داشته اید؟",""
"115","مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - ترس از بيمارشدن","مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟تمایل به ترک قلیان "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," ترس از بيمارشدن"
"116","تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - اصرار دوستان و فاميل","تمایل به ترک قلیان "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," اصرار دوستان و فاميل"
"117","تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - به خاطر فرزندانم","تمایل به ترک قلیان "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," به خاطر فرزندانم"
"118","تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - توصيه پرسنل بهداشتی","تمایل به ترک قلیان "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," توصيه پرسنل بهداشتی"
"119","تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - قوانين محيط کار","تمایل به ترک قلیان "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," قوانين محيط کار"
"120","تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - خسته شدن از مصرف","تمایل به ترک قلیان "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," خسته شدن از مصرف"
"121","تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - هزينه های مالی","تمایل به ترک قلیان "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," هزينه های مالی"
"122","تمایل به ترک قلیان - مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ - ساير","تمایل به ترک قلیان "," مهمترين علت اقدام به ترک يا ترکهای قبلی چه بوده است؟ "," ساير"
"123","تمایل به ترک قلیان - تعداد دفعات ترک چند بار بوده؟","تمایل به ترک قلیان "," تعداد دفعات ترک چند بار بوده؟",""
"124","تمایل به ترک قلیان - حداکثر چه مدت بین ترک ها فاصله بوده است؟","تمایل به ترک قلیان "," حداکثر چه مدت بین ترک ها فاصله بوده است؟",""
"125","تمایل به ترک قلیان - آخرین زمانی که برای ترک اقدام کرده اید کی بود؟","تمایل به ترک قلیان "," آخرین زمانی که برای ترک اقدام کرده اید کی بود؟",""
"126","تمایل به ترک قلیان - مهمترين علل عدم موفقيت در ترکهای قبلی","تمایل به ترک قلیان "," مهمترين علل عدم موفقيت در ترکهای قبلی",""
"127","تمایل به ترک قلیان - روش يا روشهای مورد استفاده در ترکهای قبلی","تمایل به ترک قلیان "," روش يا روشهای مورد استفاده در ترکهای قبلی",""
"128","چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟تمایل به ترک قلیان - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - تمایل زیاد به مصرف","چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟تمایل به ترک قلیان "," چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ "," تمایل زیاد به مصرف"
"129","تمایل به ترک قلیان - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - بی حوصلگی","تمایل به ترک قلیان "," چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ "," بی حوصلگی"
"130","تمایل به ترک قلیان - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - سرفه و خلط زیاد","تمایل به ترک قلیان "," چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ "," سرفه و خلط زیاد"
"131","تمایل به ترک قلیان - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - عدم تمرکز","تمایل به ترک قلیان "," چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ "," عدم تمرکز"
"132","تمایل به ترک قلیان - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - افزایش وزن","تمایل به ترک قلیان "," چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ "," افزایش وزن"
"133","تمایل به ترک قلیان - چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ - سایر موارد","تمایل به ترک قلیان "," چه مواردی در دوران ترک، شما را بیشتر اذیت کرد؟ "," سایر موارد"
"134","تمایل به ترک قلیان - آیا شما فکر می کنید اگر بخواهید می توانید دوباره قلیان را ترک کنید؟","تمایل به ترک قلیان "," آیا شما فکر می کنید اگر بخواهید می توانید دوباره قلیان را ترک کنید؟",""
"135","تمایل به ترک قلیان - چه کسانی بیشتر  در این مسیر شما را حمایت خواهند کرد؟","تمایل به ترک قلیان "," چه کسانی بیشتر  در این مسیر شما را حمایت خواهند کرد؟",""
"136","علایم و نشانه‌های بیماری تنفسیعلایم و نشانه‌های بیماری تنفسی - طی یک ماه گذشته، چقدر احساس تنگی نفس داشته‌اید؟","علایم و نشانه‌های بیماری تنفسیعلایم و نشانه‌های بیماری تنفسی "," طی یک ماه گذشته، چقدر احساس تنگی نفس داشته‌اید؟",""
"137","علایم و نشانه‌های بیماری تنفسی - آیا تا به حال سرفۀ خلط‌دار داشته‌اید؟","علایم و نشانه‌های بیماری تنفسی "," آیا تا به حال سرفۀ خلط‌دار داشته‌اید؟",""
"138","علایم و نشانه‌های بیماری تنفسی - «توان من برای انجام کارها، کمتر از توان افراد دیگر است.»","علایم و نشانه‌های بیماری تنفسی "," «توان من برای انجام کارها، کمتر از توان افراد دیگر است.»",""
"139","علایم و نشانه‌های بیماری تنفسی - آیا تاکنون پزشک، بیماری تنفسی برای شما تشخیص داده است؟","علایم و نشانه‌های بیماری تنفسی "," آیا تاکنون پزشک، بیماری تنفسی برای شما تشخیص داده است؟",""
"140","علایم و نشانه‌های بیماری تنفسی - پزشک شما کدام مورد را تشخیص داده است؟","علایم و نشانه‌های بیماری تنفسی "," پزشک شما کدام مورد را تشخیص داده است؟",""
"141","پرسشگرپرسشگر - پرسشگر هستید؟","پرسشگرپرسشگر "," پرسشگر هستید؟",""
"142","پرسشگر - کد مخصوص پرسشگر","پرسشگر "," کد مخصوص پرسشگر",""
"143","اسپم","اسپم","",""
"144","تاریخ شروع","تاریخ شروع","",""
"145","تاریخ اتمام","تاریخ اتمام","",""
